date,Smash Mouth,isPartial
2004-07-01,93,False
2004-08-01,100,False
2004-09-01,49,False
2004-10-01,85,False
2004-11-01,95,False
2004-12-01,62,False
2005-01-01,55,False
2005-02-01,67,False
2005-03-01,56,False
2005-04-01,82,False
2005-05-01,85,False
2005-06-01,72,False
2005-07-01,58,False
2005-08-01,57,False
2005-09-01,52,False
2005-10-01,56,False
2005-11-01,52,False
2005-12-01,63,False
2006-01-01,86,False
2006-02-01,81,False
2006-03-01,58,False
2006-04-01,76,False
2006-05-01,75,False
2006-06-01,79,False
2006-07-01,70,False
2006-08-01,64,False
2006-09-01,66,False
2006-10-01,67,False
2006-11-01,51,False
2006-12-01,54,False
2007-01-01,59,False
2007-02-01,71,False
2007-03-01,50,False
2007-04-01,51,False
2007-05-01,70,False
2007-06-01,70,False
2007-07-01,65,False
2007-08-01,54,False
2007-09-01,53,False
2007-10-01,39,False
2007-11-01,46,False
2007-12-01,45,False
2008-01-01,46,False
2008-02-01,45,False
2008-03-01,43,False
2008-04-01,43,False
2008-05-01,49,False
2008-06-01,40,False
2008-07-01,35,False
2008-08-01,45,False
2008-09-01,46,False
2008-10-01,41,False
2008-11-01,45,False
2008-12-01,38,False
2009-01-01,54,False
2009-02-01,39,False
2009-03-01,41,False
2009-04-01,50,False
2009-05-01,42,False
2009-06-01,48,False
2009-07-01,55,False
2009-08-01,58,False
2009-09-01,48,False
2009-10-01,41,False
2009-11-01,46,False
2009-12-01,41,False
2010-01-01,49,False
2010-02-01,46,False
2010-03-01,51,False
2010-04-01,58,False
2010-05-01,57,False
2010-06-01,49,False
2010-07-01,62,False
2010-08-01,57,False
2010-09-01,49,False
2010-10-01,45,False
2010-11-01,45,False
2010-12-01,42,False
2011-01-01,41,False
2011-02-01,45,False
2011-03-01,41,False
2011-04-01,49,False
2011-05-01,44,False
2011-06-01,53,False
2011-07-01,52,False
2011-08-01,47,False
2011-09-01,43,False
2011-10-01,47,False
2011-11-01,41,False
2011-12-01,36,False
2012-01-01,40,False
2012-02-01,48,False
2012-03-01,44,False
2012-04-01,51,False
2012-05-01,40,False
2012-06-01,45,False
2012-07-01,49,False
2012-08-01,45,False
2012-09-01,43,False
2012-10-01,34,False
2012-11-01,36,False
2012-12-01,31,False
2013-01-01,39,False
2013-02-01,36,False
2013-03-01,42,False
2013-04-01,42,False
2013-05-01,41,False
2013-06-01,42,False
2013-07-01,46,False
2013-08-01,43,False
2013-09-01,33,False
2013-10-01,36,False
2013-11-01,32,False
2013-12-01,26,False
2014-01-01,30,False
2014-02-01,32,False
2014-03-01,34,False
2014-04-01,39,False
2014-05-01,40,False
2014-06-01,40,False
2014-07-01,53,False
2014-08-01,40,False
2014-09-01,33,False
2014-10-01,36,False
2014-11-01,34,False
2014-12-01,34,False
2015-01-01,31,False
2015-02-01,34,False
2015-03-01,37,False
2015-04-01,34,False
2015-05-01,36,False
2015-06-01,63,False
2015-07-01,45,False
2015-08-01,44,False
2015-09-01,35,False
2015-10-01,35,False
2015-11-01,31,False
2015-12-01,39,False
2016-01-01,39,False
2016-02-01,39,False
2016-03-01,32,False
2016-04-01,42,False
2016-05-01,40,False
2016-06-01,54,False
2016-07-01,48,False
2016-08-01,41,False
2016-09-01,40,False
2016-10-01,58,False
2016-11-01,67,False
2016-12-01,89,False
2017-01-01,83,False
2017-02-01,68,False
2017-03-01,77,False
2017-04-01,65,False
2017-05-01,60,False
2017-06-01,65,False
2017-07-01,61,False
2017-08-01,54,False
2017-09-01,55,False
2017-10-01,47,False
2017-11-01,41,False
2017-12-01,41,False
2018-01-01,39,False
2018-02-01,42,False
2018-03-01,41,False
2018-04-01,45,False
2018-05-01,52,False
2018-06-01,47,False
