,Country,Interest
0,AFG,0
1,ALB,0
2,DZA,0
3,UMI,0
4,AND,0
5,AGO,0
6,AIA,0
7,ATA,0
8,ATG,0
9,SAU,0
10,ARG,25
11,ARM,0
12,ABW,0
13,AUS,87
14,AUT,16
15,AZE,0
16,BHS,0
17,BHR,0
18,BGD,0
19,BRB,0
20,BEL,20
21,BLZ,0
22,BEN,0
23,BMU,0
24,BTN,0
25,BLR,21
26,BOL,0
27,BIH,0
28,BWA,0
29,BRA,29
30,BRN,0
31,BGR,15
32,BFA,0
33,BDI,0
34,KHM,0
35,CMR,0
36,CAN,86
37,CPV,0
38,BES,0
39,CZE,27
40,TCD,0
41,CHL,27
42,CHN,0
43,CYP,0
44,VAT,0
45,COL,14
46,COM,0
47,COD,0
48,COG,0
49,PRK,0
50,KOR,5
51,CRI,25
52,CIV,0
53,HRV,13
54,CUB,0
55,CUW,0
56,DNK,39
57,DMA,0
58,ECU,16
59,EGY,0
60,SLV,0
61,ARE,14
62,ERI,0
63,EST,0
64,ETH,0
65,FJI,0
66,PHL,41
67,FIN,30
68,FRA,14
69,GAB,0
70,GMB,0
71,GEO,0
72,SGS,0
73,DEU,17
74,GHA,0
75,JAM,0
76,JPN,3
77,GIB,0
78,DJI,0
79,JOR,0
80,GRC,10
81,GRD,0
82,GRL,0
83,GLP,0
84,GUM,25
85,GTM,0
86,GGY,0
87,GIN,0
88,GNQ,0
89,GNB,0
90,GUY,0
91,GUF,0
92,HTI,0
93,HND,0
94,HKG,12
95,IND,3
96,IDN,6
97,IRN,4
98,IRQ,0
99,IRL,46
100,ISL,0
101,BVT,0
102,CXR,0
103,NFK,0
104,IMN,0
105,CYM,0
106,CCK,0
107,COK,0
108,FLK,0
109,FRO,0
110,HMD,0
111,MNP,0
112,MHL,0
113,PCN,0
114,SLB,0
115,TCA,0
116,VIR,0
117,VGB,0
118,ALA,0
119,ISR,17
120,ITA,29
121,JEY,0
122,KAZ,11
123,KEN,0
124,KGZ,0
125,KIR,0
126,KWT,0
127,LAO,0
128,LSO,0
129,LVA,0
130,LBN,0
131,LBR,0
132,LBY,0
133,LIE,0
134,LTU,17
135,LUX,0
136,MAC,0
137,MKD,0
138,MDG,0
139,MWI,0
140,MYS,13
141,MDV,0
142,MLI,0
143,MLT,0
144,MAR,0
145,MTQ,0
146,MRT,0
147,MUS,0
148,MYT,0
149,MEX,34
150,FSM,0
151,MDA,0
152,MCO,0
153,MNG,0
154,MNE,0
155,MSR,0
156,MOZ,0
157,MMR,0
158,NAM,0
159,NRU,0
160,NPL,0
161,NIC,0
162,NER,0
163,NGA,0
164,NIU,0
165,NOR,38
166,NCL,0
167,NZL,81
168,OMN,0
169,NLD,24
170,PAK,0
171,PLW,0
172,PSE,0
173,PAN,0
174,PNG,0
175,PRY,47
176,PER,23
177,PYF,0
178,POL,17
179,PRT,29
180,PRI,32
181,QAT,19
182,GBR,49
183,CAF,0
184,DOM,0
185,REU,0
186,ROU,12
187,RWA,0
188,RUS,24
189,ESH,0
190,KNA,0
191,LCA,0
192,MAF,0
193,VCT,0
194,BLM,0
195,SPM,0
196,WSM,0
197,ASM,0
198,SMR,0
199,SHN,0
200,SEN,0
201,SRB,21
202,SYC,0
203,SLE,0
204,SGP,28
205,SXM,0
206,SYR,0
207,SVK,12
208,SVN,0
209,SOM,0
210,ESP,27
211,LKA,0
212,USA,100
213,SSD,0
214,ZAF,21
215,SDN,0
216,SUR,0
217,SJM,0
218,SWE,32
219,CHE,15
220,SWZ,0
221,STP,0
222,TJK,0
223,TWN,4
224,TZA,0
225,ATF,0
226,IOT,0
227,THA,4
228,TLS,0
229,TGO,0
230,TKL,0
231,TON,0
232,TTO,0
233,TUN,0
234,TUR,4
235,TKM,0
236,TUV,0
237,UKR,20
238,UGA,0
239,HUN,26
240,URY,0
241,UZB,0
242,VUT,0
243,VEN,15
244,VNM,4
245,WLF,0
246,YEM,0
247,ZMB,0
248,ZWE,0
