,track.id,track.popularity,playlist.id,playlist.name,danceability,energy,acousticness,instrumentalness,liveness,valence
0,3rj0b3LZ1nDH3Ok5qiJ0wK,28,37i9dQZF1DWZuIX5Q3yUjF,anima R&B,0.434,0.542,0.198,1.68e-06,0.555,0.478
1,11M65eBc6Nn2Xz4sSqp74t,64,37i9dQZF1DWZuIX5Q3yUjF,anima R&B,0.719,0.663,0.0664,0.000328,0.327,0.379
2,1dXTFknh7iKkCKUAvkoN71,61,37i9dQZF1DWZuIX5Q3yUjF,anima R&B,0.657,0.675,0.0563,0.0,0.451,0.291
3,0H5tubrS0IuLTuqvNDQSiU,57,37i9dQZF1DWZuIX5Q3yUjF,anima R&B,0.735,0.584,0.477,1.18e-05,0.16,0.423
4,3VGJcyguewRfIS9WfKRHuM,34,37i9dQZF1DWZuIX5Q3yUjF,anima R&B,0.742,0.818,0.0151,1.34e-05,0.126,0.774
5,7bHvccLIQywLbjaUjJRLye,18,37i9dQZF1DWZuIX5Q3yUjF,anima R&B,0.778,0.473,0.298,0.0,0.228,0.678
6,2cLYMeNcfLgCbhxKKyfOme,59,37i9dQZF1DWZuIX5Q3yUjF,anima R&B,0.786,0.851,0.211,0.0,0.0757,0.58
7,1jdYgNwQCvGxLBXtTGeX8d,37,37i9dQZF1DWZuIX5Q3yUjF,anima R&B,0.765,0.346,0.603,0.0,0.0936,0.581
8,68EmYCU8qFdwLrDBajE8A6,24,37i9dQZF1DWZuIX5Q3yUjF,anima R&B,0.556,0.445,0.346,2.25e-05,0.112,0.67
9,73z3wbfBE0SvMurARjGU1q,34,37i9dQZF1DWZuIX5Q3yUjF,anima R&B,0.77,0.663,0.0606,2.51e-06,0.148,0.66
10,22aKqbbdS2OIo2kTeL4aA0,28,37i9dQZF1DWZuIX5Q3yUjF,anima R&B,0.537,0.471,0.664,0.0,0.124,0.605
11,1hNmQc9kFq67hSxA92ODcE,66,37i9dQZF1DWZuIX5Q3yUjF,anima R&B,0.531,0.716,0.729,0.0,0.645,0.428
12,05HJPD3XmvELk1XkUHESk7,21,37i9dQZF1DWZuIX5Q3yUjF,anima R&B,0.775,0.487,0.0327,0.0,0.191,0.264
