,track.id,track.popularity,playlist.id,danceability,energy,acousticness,instrumentalness,liveness,valence
0,2cLYMeNcfLgCbhxKKyfOme,55,37i9dQZF1DWZuIX5Q3yUjF,0.786,0.851,0.211,0.0,0.0757,0.58
1,6dBGbkgvyWtnsPzDKrH1ST,31,37i9dQZF1DWZuIX5Q3yUjF,0.582,0.648,0.309,1.8e-05,0.0815,0.757
2,3PpqHTygYCraYl4KfNfA9p,43,37i9dQZF1DWZuIX5Q3yUjF,0.323,0.828,0.48,0.000563,0.296,0.477
3,4GYqfjLLISwlgJOj6gRPZ2,37,37i9dQZF1DWZuIX5Q3yUjF,0.722,0.295,0.666,0.0,0.116,0.171
4,1hNmQc9kFq67hSxA92ODcE,68,37i9dQZF1DWZuIX5Q3yUjF,0.531,0.716,0.729,0.0,0.645,0.428
5,03w45P2Br5z0Y4kyvhTKlh,63,37i9dQZF1DWZuIX5Q3yUjF,0.615,0.689,0.178,0.0,0.117,0.523
6,6xGlBUxlWB6BTUIB3AYrTw,42,37i9dQZF1DWZuIX5Q3yUjF,0.42,0.624,0.613,0.000283,0.108,0.434
7,1eCtqVLTiNXOIelAyg7RqA,25,37i9dQZF1DWZuIX5Q3yUjF,0.688,0.57,0.0894,0.0,0.198,0.158
8,1gwcz7W3VgOYKlIdTykPhy,52,37i9dQZF1DWZuIX5Q3yUjF,0.626,0.604,0.473,0.00534,0.211,0.36
9,11M65eBc6Nn2Xz4sSqp74t,66,37i9dQZF1DWZuIX5Q3yUjF,0.719,0.663,0.0664,0.000328,0.327,0.379
10,3eBhdxzIt6VcPVexAA68QT,34,37i9dQZF1DWZuIX5Q3yUjF,0.563,0.869,0.00947,0.0,0.422,0.523
11,5PSWmQpJrYFZBBehU0v09E,31,37i9dQZF1DWZuIX5Q3yUjF,0.618,0.52,0.381,0.00201,0.262,0.29
12,55XKT8nyvkb4YlaxdrMrBq,32,37i9dQZF1DWZuIX5Q3yUjF,0.584,0.381,0.75,0.0,0.146,0.517
13,2xmkr6aeNhG9QW1ecoGYl8,34,37i9dQZF1DWZuIX5Q3yUjF,0.543,0.751,0.673,0.0,0.169,0.506
14,3LoPklEXqT6iCQDQslGWDW,29,37i9dQZF1DWZuIX5Q3yUjF,0.627,0.587,0.304,0.0,0.074,0.358
15,2tWFQujrrU9UCDdkOTnqwr,30,37i9dQZF1DWZuIX5Q3yUjF,0.352,0.481,0.459,0.005,0.127,0.0909
16,1e24wk42udtaqRbDDL5kU9,32,37i9dQZF1DWZuIX5Q3yUjF,0.736,0.578,0.031,0.0,0.0903,0.676
17,3VGJcyguewRfIS9WfKRHuM,34,37i9dQZF1DWZuIX5Q3yUjF,0.742,0.818,0.0151,1.34e-05,0.126,0.774
18,1veReHjJIxYAuKDXTr1p5T,25,37i9dQZF1DWZuIX5Q3yUjF,0.743,0.742,0.382,0.0017,0.103,0.616
19,3gKvDIkVfnVUaml9MjOZsX,28,37i9dQZF1DWZuIX5Q3yUjF,0.841,0.609,0.103,0.0,0.097,0.81
20,1UNQsvJJaMU8nO77VEWmHD,22,37i9dQZF1DWZuIX5Q3yUjF,0.569,0.682,0.134,0.0,0.134,0.292
21,25PSYKCaE27qE1gjhDv6BA,45,37i9dQZF1DWZuIX5Q3yUjF,0.667,0.61,0.0689,0.0,0.556,0.878
22,2Iwr7RPfSZcuEljEI2yfR4,36,37i9dQZF1DWZuIX5Q3yUjF,0.707,0.602,0.548,0.0,0.109,0.549
